Actinobaculum	Actinomyces	Adlercreutzia	Aggregatibacter	Aminobacterium	Anaerococcus	Anaeroglobus	Anaerovorax	Arabia	Asaccharobacter	Atopobium	Blautia	Brachymonas	Butyrivibrio	Campylobacter	Candidatus Kryptonium	Candidatus Methanomethylophilus	Capnocytophaga	Cardiobacterium	Catonella	Cloacibacillus	Collinsella	Denitrobacterium	Desulfobulbus	Dialister	Dorea	Eggerthella	Eggerthia	Eikenella	Emergencia	Enterorhabdus	Eubacterium	Filifactor	Fusobacterium	Gemella	Gordonibacter	Johnsonella	Jonquetella	Lachnoanaerobaculum	Leptotrichia	Methanobrevibacter	Mogibacterium	Olsenella	Oribacterium	Ottowia	Paraeggerthella	Parvimonas	Peptoanaerobacter	Peptoniphilus	Peptostreptococcus	Phocaeicola	Porphyromonas	Prevotella	Pseudomonas	Pseudopropionibacterium	Pseudoramibacter	Raoultibacter	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Schaalia	Selenomonas	Senegalimassilia	Shuttleworthia	Slackia	Solobacterium	Streptobacillus	Streptococcus	Streptomyces	Tannerella	Thermanaerovibrio	Treponema	Veillonella
1	1155371	757	3100	1	1	617	716	2838	739	1026	1	1	1	6595	1021	10415	2464	908	1033	1	2438	852	100045	1	1	8387	2359	1	1	1905	1728	1091	3824	627	10355	1012	787	628	1801	74048	4946	176620	3972	1591	4780	1079	1935	1244	1	120717	4803	6970	2498	119206	139980	2444	1	273488	1	698	2482	4510	791	1	9243	824	1	1525962	6334	190686	1	40997	7823
10058	1168732	2119	632	714	1304	1558	1127	8637	2094	10133	579	862	727	34688	909	1	3732	2022	1429	894	5010	2324	219082	1386	505	23962	2881	18480	1	6127	3763	5017	28019	1700	30728	31508	1334	1301	795	1	48740	66395	2342	870	12895	36075	6441	1117	1	21161	5858	4135	3653	262296	251838	7459	509	696	534	1375	7018	6193	2436	1	22543	1289	912	71682	4959	170251	1447	85323	1
1	641679	1422	1	1	538	822	1	4843	1586	7484	1	1573	1	5361	680	1	799	1201	1369	1	7295	8309	64132	1708	1	14274	4061	2759	505	3826	1747	1567	2059	505	16859	1128	1367	1	4960	986552	23586	1223005	791	1623	6109	1340	1150	1214	1	57344	3171	5185	3781	1	175707	4276	1	1	1	1048	4336	2497	1909	775	22226	1910	1	7375	3077	40685	605	34650	1
1	489203	2692	760	1	1123	1	686	10567	2513	31543	785	1	991	29607	960	738	2501	1	3321	514	7198	2842	413643	4308	659	29842	8675	2094	864	7180	4436	10626	5292	3002	37259	6124	886	1861	2514	81595	39092	521113	4267	1	17539	18885	4973	3837	3148	53396	13865	5226	3424	1	453659	9060	942	1	690	1798	98519	14532	3335	2078	47819	4054	1463	153070	3299	72387	661	109166	505
632	441642	1918	1	560	1128	706	1086	6851	1931	2592	698	1	819	5988	691	3750	1052	382	1535	860	5026	2160	303164	410	621	21146	3109	980	669	5275	3172	1682	3250	741	25737	1443	1643	497	424	57662	31256	62357	1663	1938	10949	3634	3614	2920	401	136285	8501	2309	4463	123837	151833	6684	486	1	689	1613	1917	1716	2382	479	19121	505	532	7646	4240	87544	1288	46350	393
3217	1418431	1855	1470	1	1	2772	1	7184	1720	5206	1	2004	1	46796	1004	2525	3461	2695	2490	719	4645	2081	120141	769	1	20351	5856	11914	1	5046	2687	3560	27146	1954	25898	17546	1388	1082	1	1843	29538	104447	4296	1987	4272	17794	2540	753	806	27176	12768	4409	7374	1190031	525349	6216	1	1	1	1037	3354	3237	2131	1	20751	2009	1	36193	6178	346570	899	90346	1
2041	506907	1	370	1	1199	1	745	523	1	904	719	1	1111	13247	5587	1579	4101	897	3134	726	3012	1	53305	851	437	1714	4869	979	723	364	4364	5283	10773	2212	1716	10762	1613	1646	5720	435292	2864	403534	2369	1084	566	10438	8939	5889	623	4976	5420	4553	3452	90274	471	635	610	797	714	1789	12678	6279	1	1	3015	1799	852	113689	4313	30449	609	54412	585
1	326948	1	4555	1	362	1	1	543	1	759	438	363	460	28110	2887	358	46282	19116	1923	1	1672	287	24557	1004	1	1691	2044	42175	1	533	4581	2206	9609	18422	1878	6972	1	1394	19522	74204	3361	221194	589	184442	496	14891	3956	1749	323	13680	8462	8387	5353	41370	5513	746	398	664	316	798	144284	10458	1	1	5844	1888	560	413949	6821	35384	1	36729	402
5363	656651	1	1	637	1427	1	535	1175	1	802	509	1	490	15031	1102	7892	4962	1856	3012	1811	1683	1	319203	1	1	3751	3914	941	734	781	2679	2735	9909	879	4081	10399	1292	777	499	34716	4682	331454	1000	438	789	2193	4795	4674	570	4174	27086	4670	2564	187487	596	982	1	1	507	1206	1591	2004	1	1	2261	510	510	9702	3639	225755	2150	87016	1
1	1434966	1	230180	1	1	1	1	1	1	1	1027	2913	1438	218651	1	1	250923	111149	58299	1	1	1	46906	1	1	1	1361	266362	1	1	138992	10541	208610	421683	1	60791	1	8925	103353	23078	11724	27437	1698	215959	1	138400	89864	2187	2254	1	97720	496866	6957	240954	1	1	834	8312	1	1629	44816	39702	1	1	1	1846	1	692977	4266	142328	1	36962	30450
