Genus	otago	okla	jena
Sedimenticola	1	1	1
Sediminibacterium	1	1	1
Segetibacter		1	
Serinicoccus	1	1	1
Serpentinomonas	1	1	1
Serratia	1	1	1
Shewanella	1	1	1
Shigella		1	
Shinella	1	1	1
Siccationidurans	1	1	
Sideroxydans	1	1	1
Silanimonas	1	1	1
Silicimonas	1	1	1
Silvibacterium	1	1	1
Simkania	1	1	
Simplicispira	1	1	1
Singulisphaera	1	1	1
Sinimarinibacterium	1	1	1
Sinomonas	1	1	1
Sinorhizobium	1	1	1
Sinosporangium	1	1	1
Solimonas	1	1	1
Solirubrobacter	1	1	1
Sorangium	1	1	1
Sphaerisporangium	1	1	1
Sphaerobacter	1	1	1
Sphaerotilus	1	1	1
Sphingobacterium	1	1	1
Sphingobium	1	1	1
Sphingomonas	1	1	1
Sphingopyxis	1	1	1
Sphingorhabdus	1	1	
Sphingosinicella	1	1	1
Spiribacter	1	1	1
Spirochaeta	1	1	1
Spirosoma	1	1	1
Spongiibacter	1	1	
Sporichthya	1	1	1
Sporocytophaga		1	
Stackebrandtia	1	1	1
Staphylococcus	1	1	
Stappia	1	1	1
Starkeya	1	1	1
Stenotrophomonas	1	1	1
Steroidobacter	1	1	1
Sterolibacterium	1	1	
Stigmatella	1	1	1
Streptacidiphilus	1	1	1
Streptosporangium	1	1	1
Sulfitobacter	1	1	1
Sulfuricaulis	1	1	1
Sulfuricella	1	1	1
Sulfuriferula	1	1	
Sulfurifustis	1	1	1
Sulfurisoma	1	1	1
Sulfuritalea	1	1	1
Sutterella	1	1	1
Symbiobacterium	1	1	1
Synechococcus	1	1	1
Syntrophobacter	1		
Syntrophus	1	1	1
Taibaiella	1	1	
Tamilnaduibacter	1	1	
Tardibacter	1	1	
Tardiphaga	1	1	1
Telmatospirillum	1	1	1
Tenacibaculum	1	1	1
Tepidimonas	1	1	1
Tepidiphilus	1	1	1
Teredinibacter	1	1	
Terrabacter	1	1	1
Terracidiphilus	1	1	1
Terriglobus	1	1	1
Terrimonas	1	1	1
Tessaracoccus	1	1	1
Tetrasphaera	1	1	1
Thalassobaculum	1	1	1
Thalassomonas	1	1	
Thalassospira	1	1	
Thauera	1	1	1
Thermacetogenium	1	1	
Thermaerobacter	1	1	1
Thermithiobacillus	1	1	1
Thermoactinospora	1	1	1
Thermoanaerobaculum	1	1	1
Thermobacillus	1	1	1
Thermobifida	1	1	1
Thermobispora	1	1	1
Thermococcus	1	1	1
Thermocrispum	1	1	1
Thermodesulfovibrio	1	1	
Thermoflexus	1	1	1
Thermogemmatispora	1	1	1
Thermogutta	1	1	
Thermoleophilum	1	1	1
Thermomicrobium	1	1	1
Thermomonas	1	1	1
Thermomonospora	1	1	1
Thermopetrobacter	1	1	1
Thermus	1	1	1
Thioalbus	1	1	1
Thioalkalivibrio	1	1	1
Thiobacillus	1	1	1
Thiocapsa	1	1	1
Thioclava	1	1	
Thiocystis	1	1	1
Thiodictyon	1	1	1
Thioflavicoccus	1	1	1
Thiohalobacter	1	1	1
Thiohalomonas	1	1	1
Thiohalospira	1	1	1
Thiolapillus	1	1	
Thiomonas	1	1	1
Thiorhodovibrio	1	1	1
Thiothrix	1	1	1
Tistlia	1	1	1
Tistrella	1	1	1
Tolypothrix	1	1	1
Tranquillimonas	1	1	1
Trichococcus	1	1	
Trinickia	1	1	1
Truepera	1	1	1
Tsukamurella	1	1	1
Tumebacillus	1	1	1
Umezawaea	1	1	1
Undibacterium		1	
Variibacter	1	1	1
Variovorax		1	1
Verminephrobacter	1	1	1
Verrucomicrobium	1	1	1
Verrucosispora	1	1	1
Vibrio	1	1	1
Victivallis	1	1	
Vitreoscilla	1		
Vogesella	1	1	1
Vulgatibacter	1	1	1
Weissella		1	1
Wenxinia	1	1	1
Wenzhouxiangella	1	1	1
Williamsia	1	1	1
Winogradskyella		1	
Woeseia	1	1	1
Xanthobacter	1	1	1
Xanthomonas	1	1	1
Xenophilus	1	1	1
Xenorhabdus	1	1	1
Xiangella	1	1	1
Xylella	1	1	
Xylophilus	1	1	1
Yangia	1	1	1
Yersinia	1	1	1
Yonghaparkia	1	1	1
Yuhushiella	1	1	1
Zavarzinella	1	1	1
Zhihengliuella	1	1	
Zobellella	1	1	1
