Species
Geodermatophilus saharensis
Geodermatophilus siccatus
Geodermatophilus sp. DSM 44511
Geodermatophilus telluris
Geodermatophilus tzadiensis
Georgenia satyanarayanai
Geothermobacter sp. HR-1
Geothrix fermentans
Gloeobacter kilaueensis
Gloeobacter violaceus
Gluconacetobacter diazotrophicus
Glycomyces arizonensis
Glycomyces artemisiae
Glycomyces harbinensis
Glycomyces sambucus
Glycomyces tenuis
Gordonia iterans
Gordonia polyisoprenivorans
Gordonia sp. IITR100
Granulibacter bethesdensis
Granulicella mallensis
Granulicella tundricola
Hahella chejuensis
Halegenticoccus soli
Haliangium ochraceum
Haliea salexigens
Halioglobus pacificus
Halomonas aestuarii
Halomonas anticariensis
Halomonas beimenensis
Halomonas daqiaonensis
Halomonas daqingensis
Halomonas elongata
Halomonas gudaonensis
Halomonas halodenitrificans
Halomonas ilicicola
Halomonas korlensis
Halomonas lutea
Halomonas massiliensis
Halomonas muralis
Halomonas pantelleriensis
Halomonas saccharevitans
Halomonas salina
Halomonas shengliensis
Halomonas sp. 1513
Halomonas sp. A11
Halomonas subglaciescola
Halomonas taeanensis
Halomonas urumqiensis
Halomonas utahensis
Halomonas ventosae
Halomonas xianhensis
Halorhodospira halophila
Halorussus litoreus
Halotalea alkalilenta
Halothiobacillus sp. LS2
Hamadaea tsunoensis
Harryflintia acetispora
Hartmannibacter diazotrophicus
Helicobacter bizzozeronii
Helicobacter felis
Helicobacter rappini
Helicobacter salomonis
Helicobacter suis
Heliobacterium modesticaldum
Hephaestia caeni
Herbaspirillum hiltneri
Herbaspirillum robiniae
Herbaspirillum seropedicae
Herbaspirillum sp. XFZ15
Herbidospora cretacea
Herbidospora daliensis
Herbidospora mongoliensis
Herbidospora sakaeratensis
Herbidospora yilanensis
Hoeflea marina
Hoeflea olei
Hoeflea sp. 108
Holophaga foetida
Humitalea rosea
Hwanghaeicola aestuarii
Hydrocarboniphaga daqingensis
Hydrogenibacillus schlegelii
Hydrogenophaga crassostreae
Hydrogenophaga sp. IBVHS1
Hydrogenophaga sp. IBVHS2
Hydrogenophaga sp. PBC
Hydrogenophaga sp. PML113
Hydrogenophaga sp. RAC07
Hydrogenophaga sp. Root209
Hydrogenophilus thermoluteolus
Hydrotalea sandarakina
Hylemonella gracilis
Hymenobacter aerophilus
Hymenobacter nivis
Hymenobacter psychrophilus
Hymenobacter sedentarius
Hymenobacter sp. APR13
Hymenobacter sp. CRA2
Hymenobacter sp. PAMC 26554
Hymenobacter sp. PAMC 26628
