#Datasets	EXB037.A3001.unmapped	EXB037.A3201.unmapped	EXB037.A3401.unmapped	LIB030.A0115.unmapped	EXB037.A3101.unmapped	LIB027.A0136.unmapped	LIB030.A0112.unmapped	LIB030.A0113.unmapped	LIB030.A0114.unmapped	EXB037.A2901.unmapped	EXB037.A3301.unmapped
"Dietzia"	99.0	212.0	54.0	22.0	1053.0	0.0	44.0	14.0	0.0	70.0	188.0
"Gordonia"	254.0	88.0	212.0	97.0	1035.0	0.0	33.0	16.0	62.0	79.0	441.0
"Mycobacterium"	2095.0	3412.0	2279.0	487.0	2778.0	1.0	551.0	209.0	799.0	874.0	3011.0
"Mycobacteroides"	62.0	76.0	83.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	91.0
"Mycolicibacter"	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0
"Mycolicibacterium"	161.0	1944.0	233.0	64.0	442.0	0.0	53.0	8.0	3476.0	98.0	293.0
"Nocardia"	66.0	62.0	32.0	55.0	156.0	0.0	245.0	10.0	47.0	81.0	163.0
"Rhodococcus"	1090.0	384.0	1930.0	245.0	1001.0	0.0	1015.0	142.0	377.0	783.0	2396.0
"Williamsia"	160.0	61.0	48.0	0.0	0.0	0.0	31.0	0.0	0.0	206.0	267.0
"Cryptosporangium"	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Frankia"	51.0	33.0	12.0	57.0	0.0	0.0	14.0	0.0	23.0	32.0	80.0
"Motilibacter"	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Blastococcus"	105.0	244.0	84.0	150.0	618.0	0.0	227.0	46.0	172.0	116.0	259.0
"Geodermatophilus"	69.0	206.0	23.0	109.0	594.0	0.0	104.0	15.0	41.0	61.0	221.0
"Modestobacter"	0.0	36.0	10.0	21.0	249.0	0.0	50.0	11.0	0.0	29.0	108.0
"Jiangella"	0.0	0.0	12.0	92.0	139.0	0.0	17.0	0.0	0.0	0.0	0.0
"Angustibacter"	0.0	0.0	0.0	683.0	0.0	0.0	0.0	0.0	0.0	0.0	283.0
"Kineococcus"	0.0	23.0	0.0	13.0	93.0	0.0	24.0	0.0	0.0	0.0	0.0
"Kineosporia"	0.0	33.0	0.0	80.0	205.0	0.0	11.0	0.0	0.0	0.0	0.0
"Georgenia"	0.0	19.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0
"Brevibacterium"	179.0	104.0	31.0	53.0	1104.0	0.0	69.0	14.0	841.0	104.0	222.0
"Cellulomonas"	0.0	61.0	68.0	118.0	444.0	0.0	60.0	11.0	0.0	0.0	170.0
"Demequina"	0.0	0.0	0.0	12.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0
"Lysinimicrobium"	0.0	19.0	15.0	23.0	0.0	0.0	12.0	0.0	0.0	30.0	0.0
"Brachybacterium"	280.0	642.0	44.0	105.0	1491.0	0.0	46.0	31.0	0.0	186.0	244.0
"Dermacoccus"	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0
"Kytococcus"	114.0	170.0	0.0	32.0	552.0	0.0	0.0	7.0	0.0	60.0	463.0
