#Datasets	SRR11176627.unmapped	SRR11176628.unmapped	SRR11176629.unmapped	SRR11176630.unmapped	SRR11176631.unmapped	SRR11176632.unmapped	SRR11176633.unmapped	SRR11176634.unmapped	SRR11176635.unmapped	SRR11176636.unmapped	SRR11176637.unmapped	SRR11176638.unmapped	SRR11176639.unmapped	SRR11176640.unmapped	SRR11176641.unmapped	SRR11176642.unmapped	SRR11176643.unmapped
"Schaalia cardiffensis"	18499.0	3289.0	70788.0	3764.0	1486.0	18173.0	17178.0	201328.0	11164.0	94614.0	0.0	11484.0	3249.0	181413.0	19357.0	7744.0	0.0
"Schaalia georgiae"	0.0	0.0	0.0	0.0	735.0	0.0	0.0	0.0	0.0	2210.0	0.0	0.0	3082.0	3702.0	0.0	1124.0	0.0
"Schaalia odontolytica"	0.0	64817.0	0.0	0.0	0.0	0.0	401.0	0.0	0.0	0.0	0.0	0.0	9561.0	5429.0	975.0	1828.0	0.0
"Actinomycetales bacterium"	0.0	0.0	0.0	0.0	488.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Alloscardovia omnicolens"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	324.0	0.0	0.0	0.0	0.0	0.0
"Bifidobacterium thermophilum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	612.0	0.0	0.0
"Gardnerella vaginalis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	800.0	0.0	0.0	0.0	0.0	67.0
"Corynebacterium casei"	0.0	0.0	0.0	0.0	1626.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Corynebacterium durum"	0.0	65655.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	797.0	6232.0	0.0	0.0	0.0
"Corynebacterium matruchotii"	0.0	31128.0	0.0	0.0	0.0	858.0	810.0	3154.0	0.0	0.0	0.0	0.0	86566.0	90690.0	0.0	58941.0	0.0
"Corynebacterium provencense"	0.0	0.0	0.0	0.0	0.0	0.0	273.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	518.0
"Corynebacterium stationis"	0.0	0.0	0.0	0.0	518.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Corynebacterium striatum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	975.0	0.0	0.0	0.0	0.0	0.0	0.0
"Corynebacterium sp. HMSC064E08"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	381.0	0.0	0.0	0.0	0.0	0.0
"Gordonia terrae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1989.0	0.0	0.0	0.0	0.0	0.0	0.0
"Mycobacterium tuberculosis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1562.0	0.0	0.0	0.0	0.0	0.0	0.0
"Mycolicibacterium chubuense"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0
"Mycolicibacterium houstonense"	0.0	0.0	0.0	0.0	0.0	0.0	4823.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Mycolicibacterium peregrinum"	0.0	0.0	0.0	0.0	982.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Nocardia sp. Root136"	0.0	0.0	0.0	0.0	6036.0	0.0	0.0	0.0	0.0	0.0	1137.0	0.0	0.0	0.0	0.0	0.0	0.0
"Rhodococcus hoagii"	0.0	0.0	0.0	0.0	1203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Williamsia marianensis"	0.0	0.0	0.0	0.0	574.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Tsukamurella tyrosinosolvens"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1752.0	0.0	0.0	0.0	0.0	0.0	0.0
"Modestobacter sp. DSM 44400"	0.0	0.0	0.0	0.0	369.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Angustibacter sp. Root456"	0.0	0.0	0.0	0.0	738.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Kineococcus radiotolerans"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0
"Kineosporia sp. R_H_3"	0.0	0.0	0.0	0.0	446.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Brevibacterium aurantiacum"	0.0	0.0	0.0	0.0	813.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Brevibacterium epidermidis"	0.0	0.0	0.0	0.0	372.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
