Species	eisenhoffer	okla
Devosia sp. Root413D1		1
Devosia sp. Root436		1
Devosia sp. Root635		1
Dialister invisus	1	
Dialister pneumosintes		1
Dietzia cinnamea		1
Dietzia sp. UCD-THP		1
Dietzia timorensis		1
Dokdonella immobilis	1	1
Dokdonella koreensis	1	1
Dolosigranulum pigrum		1
Dongia sp. URHE0060	1	1
Duganella sp. CF402		1
Duganella sp. CF458		1
Duganella sp. CF517	1	1
Duganella zoogloeoides		1
Dyadobacter jejuensis		1
Dyadobacter jiangsuensis		1
Dyadobacter koreensis		1
Dyadobacter psychrophilus		1
Dyella japonica		1
Dyella jiangningensis	1	1
Dyella monticola		1
Dyella psychrodurans		1
Dyella solisilvae		1
Dyella sp. AtDHG13		1
Dyella thiooxydans	1	1
Edaphobacter aggregans	1	1
Eikenella sp. HMSC061C02	1	
Eikenella sp. HMSC071B05		1
Elioraea tepidiphila	1	1
Embleya scabrispora	1	1
Emticicia sp. MM		1
Endomicrobium proavitum		1
Enhydrobacter aerosaccus	1	1
Enorma massiliensis		1
Enorma phocaeensis		1
Ensifer aridi	1	1
Ensifer sojae		1
Ensifer sp. BR816		1
Enterobacter hormaechei		1
Enterobacter ludwigii		1
Enterobacter sp. 9-2		1
Enterobacteriaceae bacterium ATCC 29904		1
Enterococcus faecium		1
Epilithonimonas bovis		1
Epilithonimonas caeni		1
Ereboglobus luteus	1	1
Erwinia gerundensis		1
Erwinia persicina		1
Erythrobacter colymbi		1
Erythrobacter neustonensis		1
Erythrobacter sp. HL-111		1
Escherichia coli		1
Eubacterium pyruvativorans		1
Euzebya sp. DY32-46	1	1
Extensimonas vulgaris		1
Faecalibacterium prausnitzii		1
Fannyhessea vaginae		1
Filimonas lacunae		1
Fimbriimonas ginsengisoli		1
Finegoldia magna		1
Flavobacteriaceae bacterium		1
Flavobacteriaceae bacterium 3519-10		1
Flavobacterium aciduliphilum		1
Flavobacterium anhuiense		1
Flavobacterium aquaticum		1
Flavobacterium aquatile		1
Flavobacterium aquicola		1
Flavobacterium araucananum		1
Flavobacterium branchiophilum		1
Flavobacterium caeni		1
Flavobacterium columnare		1
Flavobacterium commune		1
Flavobacterium crassostreae		1
Flavobacterium cutihirudinis		1
Flavobacterium daejeonense		1
Flavobacterium defluvii		1
Flavobacterium degerlachei		1
Flavobacterium denitrificans		1
Flavobacterium endophyticum		1
Flavobacterium faecale		1
Flavobacterium filum		1
Flavobacterium flevense		1
Flavobacterium frigidarium		1
Flavobacterium frigoris		1
Flavobacterium gelidilacus		1
Flavobacterium gilvum		1
Flavobacterium glaciei		1
Flavobacterium glycines		1
Flavobacterium haoranii		1
Flavobacterium hercynium		1
Flavobacterium hibernum		1
Flavobacterium hydatis		1
Flavobacterium indicum		1
Flavobacterium johnsoniae		1
Flavobacterium kingsejongi		1
Flavobacterium lacus		1
Flavobacterium lindanitolerans		1
Flavobacterium micromati		1
Flavobacterium noncentrifugens		1
Flavobacterium omnivorum		1
Flavobacterium oncorhynchi		1
Flavobacterium pectinovorum		1
Flavobacterium phragmitis		1
Flavobacterium piscis		1
Flavobacterium plurextorum		1
Flavobacterium psychrophilum		1
Flavobacterium reichenbachii		1
Flavobacterium saliperosum		1
Flavobacterium sasangense		1
Flavobacterium segetis		1
Flavobacterium sinopsychrotolerans		1
Flavobacterium soli		1
Flavobacterium sp. 316		1
Flavobacterium sp. ASV13		1
Flavobacterium sp. CF108		1
Flavobacterium sp. ov086		1
Flavobacterium sp. Root186		1
Flavobacterium sp. Root420		1
Flavobacterium sp. Root901		1
Flavobacterium sp. Root935		1
Flavobacterium sp. URHB0058		1
Flavobacterium succinicans		1
Flavobacterium suncheonense		1
Flavobacterium tegetincola		1
Flavobacterium terrigena		1
Flavobacterium urumqiense		1
Flavobacterium xinjiangense		1
Flavobacterium xueshanense		1
Flectobacillus major		1
Fluviicola taffensis		1
Fontimonas thermophila	1	1
Francisellaceae bacterium		1
Frankia coriariae	1	1
Frankia discariae	1	1
Frankia elaeagni	1	1
Frankia inefficax	1	1
Frankia saprophytica	1	1
Frankia sp. DC12	1	1
Frankia sp. EAN1pec	1	1
Frankia sp. QA3	1	1
Frankiales bacterium	1	1
Frankineae bacterium MT45	1	1
Frateuria sp. Soil773	1	1
Frateuria terrea	1	1
Fredinandcohnia aciditolerans		1
Friedmanniella flava	1	1
Friedmanniella luteola	1	1
Friedmanniella sagamiharensis	1	1
Frigoribacterium sp. Leaf164		1
Frigoribacterium sp. Leaf8		1
Frondihabitans sp. 762G35		1
Frondihabitans sp. PAMC 28766		1
Fuerstiella marisgermanici		1
Fulvimonas soli	1	1
Furfurilactobacillus rossiae		1
Fusobacterium hwasookii	1	
Fusobacterium naviforme	1	
Fusobacterium periodonticum	1	
Fusobacterium sp. oral taxon 203	1	
Gardnerella vaginalis	1	1
Gemella haemolysans		1
Geminicoccus roseus	1	1
Gemmata obscuriglobus	1	1
Gemmata sp. SH-PL17	1	1
Gemmatimonas aurantiaca	1	1
Gemmatimonas phototrophica	1	1
Gemmatirosa kalamazoonesis	1	1
Geobacillus stearothermophilus		1
Geobacter sp. M18		1
Geobacter sulfurreducens		1
Geodermatophilaceae bacterium URHA0031	1	1
Geodermatophilaceae bacterium URHB0062	1	1
Geodermatophilus africanus	1	1
Geodermatophilus amargosae	1	1
Geodermatophilus nigrescens	1	1
Geodermatophilus obscurus	1	1
Geodermatophilus poikilotrophus	1	1
Geodermatophilus ruber	1	1
Geodermatophilus sabuli	1	1
Geodermatophilus saharensis	1	1
Geodermatophilus siccatus	1	1
Geodermatophilus sp. DSM 44511	1	1
Geodermatophilus telluris	1	1
Geodermatophilus tzadiensis	1	1
Georgenia satyanarayanai	1	1
Geothrix fermentans	1	1
Giesbergeria anulus		1
Glaciibacter superstes	1	1
Glycomyces arizonensis	1	1
Glycomyces artemisiae	1	1
Glycomyces harbinensis	1	1
Glycomyces sambucus	1	1
Glycomyces tenuis	1	1
Gordonia bronchialis	1	1
Gordonia iterans	1	1
Gordonia polyisoprenivorans	1	1
Gordonia terrae	1	1
Granulicatella elegans		1
Granulicella mallensis	1	1
Granulicella tundricola		1
Granulicoccus phenolivorans	1	1
Gryllotalpicola ginsengisoli	1	1
Haemophilus haemolyticus		1
Haemophilus influenzae		1
Haemophilus parainfluenzae	1	1
Haemophilus sp. oral taxon 036		1
Haliangium ochraceum	1	1
Halomonas ilicicola		1
Halomonas muralis		1
Halopseudomonas bauzanensis		1
Hamadaea tsunoensis	1	1
Hartmannibacter diazotrophicus	1	1
Hephaestia caeni		1
Herbaspirillum hiltneri		1
Herbaspirillum sp. XFZ15		1
Herbiconiux ginsengi	1	1
Herbidospora cretacea	1	1
Herbidospora daliensis	1	1
Herbidospora mongoliensis	1	1
Herbidospora sakaeratensis	1	1
Herbidospora yilanensis	1	1
Herminiimonas arsenicoxydans	1	
Hoeflea marina	1	1
Hoeflea olei	1	1
Hoeflea sp. 108	1	1
Humitalea rosea	1	1
Hydrocarboniphaga daqingensis	1	1
Hydrogenophaga crassostreae		1
Hydrogenophaga sp. IBVHS1		1
Hydrogenophaga sp. IBVHS2		1
Hydrogenophaga sp. PBC		1
Hydrogenophaga sp. PML113	1	1
Hydrogenophaga sp. RAC07		1
Hydrogenophaga sp. Root209		1
Hydrogenophilus thermoluteolus		1
Hydrotalea sandarakina		1
Hylemonella gracilis		1
Hymenobacter norwichensis		1
Hymenobacter sp. APR13		1
Hymenobacter sp. CRA2		1
Hymenobacter sp. PAMC 26554		1
Hymenobacter swuensis		1
Hyphomicrobiales bacterium		1
Hyphomicrobium denitrificans	1	1
Hyphomicrobium nitrativorans	1	1
