Species
[Actinopolyspora] iraqiensis
Lysinimicrobium rhizosphaerae
Lysobacter antibioticus
Lysobacter capsici
Lysobacter defluvii
Lysobacter enzymogenes
Lysobacter gummosus
Lysobacter maris
Lysobacter sp. URHA0019
Macrococcus canis
Macrococcus sp. IME1552
Mammaliicoccus sciuri
Mannheimia granulomatis
Mannheimia haemolytica
Mannheimia sp. USDA-ARS-USMARC-1261
Mannheimia varigena
Marinactinospora thermotolerans
Marmoricola ginsengisoli
Marmoricola scoriae
Marmoricola solisilvae
Marmoricola sp. Leaf446
Marmoricola sp. URHB0036
Martelella mediterranea
Massilia alkalitolerans
Massilia namucuonensis
Massilia niastensis
Massilia oculi
Massilia putida
Massilia sp. KIM
Massilia sp. PDC64
Massilia sp. Root335
Massilia sp. Root351
Massilia sp. WG5
Massilia sp. YMA4
Massilia yuzhufengensis
Mastigocladus laminosus
Megasphaera elsdenii
Melittangium boletus
Mesorhizobium amorphae
Mesorhizobium australicum
Mesorhizobium ciceri
Mesorhizobium erdmanii
Mesorhizobium loti
Mesorhizobium muleiense
Mesorhizobium oceanicum
Mesorhizobium opportunistum
Mesorhizobium plurifarium
Mesorhizobium prunaredense
Mesorhizobium qingshengii
Mesorhizobium sp. 1M-11
Mesorhizobium sp. ORS 3324
Mesorhizobium sp. ORS 3359
Mesorhizobium sp. Root157
Mesorhizobium sp. Root172
Mesorhizobium sp. Root552
Mesorhizobium sp. SOD10
Mesorhizobium sp. URHA0056
Mesorhizobium sp. URHC0008
Mesorhizobium sp. WSM2561
Mesorhizobium sp. WSM3224
Mesorhizobium sp. WSM3626
Metallibacterium scheffleri
Methylibium petroleiphilum
Methylibium sp. CF059
Methylibium sp. CF468
Methylibium sp. YR605
Methylobacterium aquaticum
Methylobacterium brachiatum
Methylobacterium currus
Methylobacterium nodulans
Methylobacterium phyllostachyos
Methylobacterium platani
Methylobacterium pseudosasicola
Methylobacterium sp. 13MFTsu3.1M2
Methylobacterium sp. 174MFSha1.1
Methylobacterium sp. 4-46
Methylobacterium sp. ap11
Methylobacterium sp. B4
Methylobacterium sp. DM1
Methylobacterium sp. Leaf361
Methylobacterium sp. Leaf399
Methylobacterium sp. MB200
Methylobacterium sp. UNC300MFChir4.1
Methylobacterium sp. WSM2598
Methylobacterium sp. yr668
Methylocapsa acidiphila
Methylocapsa aurea
Methyloceanibacter caenitepidi
Methylocella silvestris
Methylococcus capsulatus
Methylocystis bryophila
Methylocystis sp. ATCC 49242
Methylocystis sp. SC2
Methylorubrum extorquens
Methylorubrum populi
Methylosinus sp. LW3
Methylosinus sp. LW4
Methylosinus trichosporium
Methyloversatilis discipulorum
Methyloversatilis sp. RAC08
Methyloversatilis universalis
Methylovirgula ligni
Microbacterium aurum
Microbacterium chocolatum
Microbacterium foliorum
Microbacterium hominis
Microbacterium kitamiense
Microbacterium luticocti
Microbacterium pygmaeum
Microbacterium sediminis
Microbacterium sp. AR7-10
Microbacterium sp. BH-3-3-3
Microbacterium sp. cf046
Microbacterium sp. cl127
Microbacterium sp. Cr-K20
Microbacterium sp. H6
Microbacterium sp. Leaf351
Microbacterium sp. MYb72
Microbacterium sp. No. 7
Microbacterium sp. PAMC 28756
Microbacterium sp. Root166
Microbacterium sp. Root180
Microbacterium sp. TPU 3598
Microbacterium sp. XT11
Microbispora rosea
Microbispora sp. ATCC PTA-5024
Microbispora sp. GMKU363
Micrococcus luteus
Microlunatus flavus
Microlunatus phosphovorus
Microlunatus sagamiharensis
Microlunatus soli
Micromonospora aurantiaca
Micromonospora auratinigra
Micromonospora carbonacea
Micromonospora chaiyaphumensis
Micromonospora chokoriensis
Micromonospora coriariae
Micromonospora coxensis
Micromonospora echinaurantiaca
Micromonospora echinofusca
Micromonospora echinospora
Micromonospora endolithica
Micromonospora haikouensis
Micromonospora halophytica
Micromonospora humi
Micromonospora inositola
Micromonospora krabiensis
Micromonospora lupini
Micromonospora matsumotoense
Micromonospora mirobrigensis
Micromonospora narathiwatensis
Micromonospora purpureochromogenes
Micromonospora rifamycinica
Micromonospora saelicesensis
Micromonospora siamensis
Micromonospora sp. ATCC 39149
Micromonospora sp. CB01531
Micromonospora sp. HK10
Micromonospora sp. L5
Micromonospora sp. RV43
Micromonospora sp. TSRI0369
Micromonospora tulbaghiae
Micromonospora viridifaciens
Micromonospora zamorensis
Micropruina glycogenica
Microterricola viridarii
Microtetraspora fusca
Microtetraspora glauca
Microtetraspora malaysiensis
Microtetraspora niveoalba
Microvirga flocculans
Microvirga guangxiensis
Microvirga lotononidis
Microvirga massiliensis
Microvirga ossetica
Microvirga sp. 17 mud 1-3
Microvirga sp. KLBC 81
Microvirga subterranea
Microvirga vignae
Mitsuaria sp. 7
Mizugakiibacter sediminis
Mobilicoccus massiliensis
Modestobacter caceresii
Modestobacter marinus
Modestobacter sp. DSM 44400
Morganella morganii
Morganella sp. HMSC11D09
Motilibacter peucedani
Murinocardiopsis flavida
Mycobacterium asiaticum
Mycobacterium avium
Mycobacterium bohemicum
Mycobacterium canettii
Mycobacterium chimaera
Mycobacterium colombiense
Mycobacterium dioxanotrophicus
Mycobacterium goodii
Mycobacterium gordonae
Mycobacterium haemophilum
Mycobacterium interjectum
Mycobacterium intermedium
Mycobacterium intracellulare
Mycobacterium kansasii
Mycobacterium leprae
Mycobacterium marinum
Mycobacterium marseillense
Mycobacterium montefiorense
Mycobacterium nebraskense
Mycobacterium paraffinicum
Mycobacterium paragordonae
Mycobacterium parascrofulaceum
Mycobacterium rhizamassiliense
Mycobacterium sherrisii
Mycobacterium shigaense
Mycobacterium shimoidei
Mycobacterium simiae
Mycobacterium sp. 141
Mycobacterium sp. 155
Mycobacterium sp. 360MFTsu5.1
Mycobacterium sp. 455mf
Mycobacterium sp. 88mf
Mycobacterium sp. AT1
Mycobacterium sp. djl-10
Mycobacterium sp. EPa45
Mycobacterium sp. JLS
Mycobacterium sp. JS623
Mycobacterium sp. M26
Mycobacterium sp. MS1601
Mycobacterium sp. QGD 101
Mycobacterium sp. Root135
Mycobacterium sp. Root265
Mycobacterium sp. Soil538
Mycobacterium sp. UM_NYF
Mycobacterium sp. UM_WWY
Mycobacterium sp. UNC267MFSha1.1M11
Mycobacterium sp. UNC280MFTsu5.1
Mycobacterium sp. URHB0044
Mycobacterium sp. URHD0025
Mycobacterium sp. WY10
Mycobacterium sp. YC-RL4
Mycobacterium terramassiliense
Mycobacterium triplex
Mycobacterium tuberculosis
Mycobacteroides abscessus
Mycobacteroides immunogenum
Mycobacteroides saopaulense
Mycolicibacter icosiumassiliensis
Mycolicibacter sinensis
Mycolicibacter terrae
Mycolicibacterium acapulense
Mycolicibacterium aurum
Mycolicibacterium austroafricanum
Mycolicibacterium chubuense
Mycolicibacterium farcinogenes
Mycolicibacterium fortuitum
Mycolicibacterium gilvum
Mycolicibacterium goodii
Mycolicibacterium hassiacum
Mycolicibacterium houstonense
