Species
Hydrogenophaga sp. PBC
Hydrogenophaga sp. PML113
Hydrogenophaga sp. RAC07
Hydrogenophaga sp. Root209
Hydrogenophilus thermoluteolus
Hydrotalea sandarakina
Hylemonella gracilis
Hymenobacter norwichensis
Hymenobacter sp. APR13
Hymenobacter sp. CRA2
Hymenobacter sp. PAMC 26554
Hymenobacter swuensis
Hyphomicrobiales bacterium
Hyphomicrobium denitrificans
Hyphomicrobium nitrativorans
Hyphomicrobium sp. 99
Hyphomicrobium sp. MC1
Hyphomicrobium sulfonivorans
Hyphomicrobium zavarzinii
Immundisolibacter cernigliae
Inquilinus limosus
Intrasporangiaceae bacterium URHB0013
Intrasporangium calvum
Isoptericola dokdonensis
Isoptericola variabilis
Isosphaera pallida
Janibacter indicus
Janibacter massiliensis
Janibacter melonis
Janibacter sp. HTCC2649
Janthinobacterium agaricidamnosum
Janthinobacterium lividum
Janthinobacterium sp. 1_2014MBL_MicDiv
Janthinobacterium sp. CG3
Janthinobacterium sp. KBS0711
Janthinobacterium sp. LM6
Janthinobacterium sp. Marseille
Janthinobacterium sp. TND4EL3
Janthinobacterium svalbardensis
Jatrophihabitans sp. GAS493
Jeongeupia sp. USM3
Jeotgalicoccus marinus
Jiangella alba
Jiangella alkaliphila
Jiangella gansuensis
Jiangella muralis
Jiangella sp. DSM 45060
Kaistia adipata
Kaistia soli
Kibdelosporangium aridum
Kibdelosporangium phytohabitans
Kibdelosporangium sp. MJ126-NF4
Kineococcus radiotolerans
Kineosporia sp. R_H_3
Kingella oralis
Kitasatospora cheerisanensis
Kitasatospora setae
Kitasatospora sp. CB01950
Kitasatospora sp. MBT63
Kitasatospora sp. MBT66
Kitasatospora sp. Root107
Kitasatospora sp. SolWspMP-SS2h
Klebsiella aerogenes
Klebsiella michiganensis
Klebsiella oxytoca
Klebsiella pneumoniae
Kocuria palustris
Kocuria rhizophila
Kocuria sp. BT304
Kocuria sp. CNJ-770
Kocuria sp. UCD-OTCP
Kocuria turfanensis
Krasilnikoviella flava
Kribbella flavida
Ktedonobacter racemifer
Kutzneria albida
Kutzneria sp. 744
Kytococcus sp. CUA-901
Lacinutrix sp. Bg11-31
Lactiplantibacillus plantarum
Lactobacillus crispatus
Lactobacillus delbrueckii
Lactobacillus helveticus
Lactobacillus iners
Lactobacillus johnsonii
Lactococcus cremoris
Lactococcus lactis
Lacunisphaera limnophila
Lampropedia hyalina
Lancefieldella parvula
Laribacter hongkongensis
Latilactobacillus sakei
Lawsonella clevelandensis
Lechevalieria atacamensis
Lechevalieria deserti
Lechevalieria fradiae
Lechevalieria xinjiangensis
Leclercia adecarboxylata
Legionella pneumophila
Leifsonia aquatica
