Species	otago	okla	jena
Devosia sp. Root685		1	1
Diaphorobacter polyhydroxybutyrativorans		1	1
Dietzia cinnamea		1	
Dietzia psychralcaliphila		1	
Dietzia sp. UCD-THP		1	
Dokdonella immobilis	1	1	1
Dokdonella koreensis	1	1	1
Dolosigranulum pigrum			1
Dongia sp. URHE0060	1	1	1
Duganella sacchari	1	1	1
Duganella sp. CF402	1	1	1
Duganella sp. CF458	1	1	1
Duganella sp. CF517	1	1	1
Duganella sp. Root1480D1	1	1	1
Duganella zoogloeoides	1	1	1
Dyadobacter fermentans	1	1	1
Dyella japonica	1	1	1
Dyella jiangningensis	1	1	1
Dyella marensis	1	1	1
Dyella sp. 333MFSha	1	1	1
Dyella sp. 4G-K06	1	1	1
Dyella sp. 4MSK11	1	1	1
Dyella sp. DHG54	1	1	1
Dyella sp. OK004	1	1	1
Dyella thiooxydans	1	1	1
Ectothiorhodospira haloalkaliphila	1	1	1
Ectothiorhodospira magna	1	1	1
Ectothiorhodospira sp. BSL-9	1	1	1
Edaphobacter aggregans	1	1	1
Edwardsiella piscicida		1	1
Elioraea tepidiphila	1	1	1
Elizabethkingia anophelis		1	1
Embleya scabrispora	1	1	1
endosymbiont of Ridgeia piscesae	1	1	1
endosymbiont of unidentified scaly snail isolate Monju	1	1	1
Enhydrobacter aerosaccus	1	1	1
Ensifer aridi	1	1	1
Ensifer sojae	1	1	1
Ensifer sp. BR816	1	1	1
Ensifer sp. ZNC0028	1	1	1
Enterobacter cloacae		1	1
Enterobacter hormaechei	1	1	1
Enterobacter roggenkampii	1		
Enterococcus cecorum		1	1
Enterococcus faecium	1	1	1
Eoetvoesia caeni			1
Ereboglobus luteus	1	1	1
Erythrobacter litoralis	1	1	1
Erythrobacter sp. HL-111	1	1	1
Erythrobacter sp. SG61-1L		1	
Escherichia coli	1	1	1
Euzebya sp. DY32-46	1	1	1
Extensimonas vulgaris	1	1	1
Faecalibacterium prausnitzii	1		1
Ferrimonas marina	1	1	1
Ferriphaselus amnicola	1		
Ferriphaselus sp. R-1	1	1	1
Fibrella aestuarina	1	1	1
Filimonas lacunae	1	1	1
Fimbriimonas ginsengisoli	1	1	1
Firmicutes bacterium	1		
Fischerella muscicola	1	1	1
Flavisolibacter ginsengisoli	1	1	1
Flavisolibacter tropicus	1	1	1
Flavobacterium aciduliphilum		1	1
Flavobacterium anhuiense		1	1
Flavobacterium aquaticum		1	1
Flavobacterium aquatile		1	1
Flavobacterium aquicola		1	1
Flavobacterium araucananum		1	1
Flavobacterium branchiophilum		1	1
Flavobacterium columnare		1	1
Flavobacterium commune		1	1
Flavobacterium crassostreae		1	1
Flavobacterium cutihirudinis		1	
Flavobacterium daejeonense		1	1
Flavobacterium defluvii		1	1
Flavobacterium degerlachei		1	1
Flavobacterium denitrificans		1	
Flavobacterium faecale		1	1
Flavobacterium filum		1	1
Flavobacterium flevense		1	1
Flavobacterium frigidarium		1	1
Flavobacterium frigoris		1	1
Flavobacterium gelidilacus		1	1
Flavobacterium gilvum		1	1
Flavobacterium glaciei		1	1
Flavobacterium glycines		1	1
Flavobacterium haoranii		1	1
Flavobacterium hercynium		1	1
Flavobacterium hibernum		1	1
Flavobacterium hydatis		1	1
Flavobacterium indicum		1	1
Flavobacterium johnsoniae		1	1
Flavobacterium lacus		1	1
Flavobacterium micromati		1	1
Flavobacterium omnivorum		1	1
Flavobacterium oncorhynchi		1	1
Flavobacterium pectinovorum		1	1
Flavobacterium phragmitis		1	1
Flavobacterium piscis		1	1
Flavobacterium plurextorum		1	1
Flavobacterium psychrophilum		1	1
Flavobacterium reichenbachii		1	1
Flavobacterium sasangense		1	1
Flavobacterium segetis		1	1
Flavobacterium sinopsychrotolerans		1	1
Flavobacterium soli		1	1
Flavobacterium sp. 316		1	1
Flavobacterium sp. Fl		1	1
Flavobacterium sp. Root186		1	1
Flavobacterium sp. Root420		1	1
Flavobacterium sp. Root935		1	1
Flavobacterium sp. URHB0058		1	1
Flavobacterium spartansii		1	1
Flavobacterium succinicans		1	1
Flavobacterium tegetincola		1	1
Flavobacterium terrigena		1	1
Flavobacterium urumqiense		1	1
Flavobacterium xinjiangense		1	1
Flavobacterium xueshanense		1	1
Fontimonas thermophila	1	1	1
Francisellaceae bacterium		1	1
Frankia coriariae	1	1	1
Frankia discariae	1	1	1
Frankia elaeagni	1	1	1
Frankia inefficax	1	1	1
Frankia saprophytica	1	1	1
Frankia sp. DC12	1	1	1
Frankia sp. EAN1pec	1	1	1
Frankia sp. QA3	1	1	1
Frankiales bacterium	1	1	1
Frankineae bacterium MT45	1	1	1
Frateuria aurantia	1	1	1
Frateuria sp. Soil773	1	1	1
Frateuria terrea	1	1	1
Friedmanniella flava	1	1	1
Friedmanniella luteola	1	1	1
Friedmanniella sagamiharensis	1	1	1
Frondihabitans sp. Leaf304		1	1
Fuerstia marisgermanicae	1	1	1
Fulvimonas soli	1	1	1
gamma proteobacterium HdN1			1
gamma proteobacterium HTCC5015	1	1	1
Gammaproteobacteria bacterium 2W06	1	1	1
Gardnerella vaginalis		1	1
Gemella cuniculi		1	
Gemella haemolysans		1	
Geminicoccus roseus	1	1	1
Gemmata obscuriglobus	1	1	1
Gemmata sp. SH-PL17	1	1	1
Gemmatimonas aurantiaca	1	1	1
Gemmatimonas phototrophica	1	1	1
Gemmatirosa kalamazoonesis	1	1	1
Gemmobacter aquatilis		1	
Geoalkalibacter ferrihydriticus	1	1	1
Geoalkalibacter subterraneus	1	1	1
Geobacillus stearothermophilus		1	1
Geobacter bemidjiensis	1	1	1
Geobacter bremensis	1	1	1
Geobacter metallireducens	1	1	1
Geobacter pelophilus	1	1	1
Geobacter pickeringii	1	1	1
Geobacter sp. DSM 9736	1	1	1
Geobacter sp. M18	1	1	1
Geobacter sp. M21	1	1	1
Geobacter sulfurreducens	1	1	1
Geobacter uraniireducens	1	1	1
Geodermatophilaceae bacterium URHA0031	1	1	1
Geodermatophilaceae bacterium URHB0062	1	1	1
Geodermatophilus africanus	1	1	1
Geodermatophilus amargosae	1	1	1
Geodermatophilus nigrescens	1	1	1
Geodermatophilus obscurus	1	1	1
Geodermatophilus ruber	1	1	1
Geodermatophilus sabuli	1	1	1
Geodermatophilus saharensis	1	1	1
Geodermatophilus siccatus	1	1	1
Geodermatophilus sp. DSM 44511	1	1	1
Geodermatophilus telluris	1	1	1
Geodermatophilus tzadiensis	1	1	1
Georgenia satyanarayanai	1	1	1
Geothermobacter sp. HR-1	1	1	1
Geothrix fermentans	1	1	1
Gilliamella bombi		1	
Gloeobacter kilaueensis	1	1	1
Gloeobacter violaceus	1	1	1
Gluconacetobacter diazotrophicus	1	1	1
Glycomyces arizonensis	1	1	1
Glycomyces artemisiae	1	1	1
Glycomyces harbinensis	1	1	1
Glycomyces sambucus	1	1	1
Glycomyces tenuis	1	1	1
Gordonia iterans	1	1	1
Gordonia polyisoprenivorans	1	1	1
Gordonia sp. IITR100			1
Granulibacter bethesdensis	1	1	1
Granulicella mallensis	1	1	1
Granulicella tundricola	1	1	1
Haemophilus parainfluenzae		1	
Hahella chejuensis	1	1	1
Halegenticoccus soli	1	1	1
Haliangium ochraceum	1	1	1
Haliea salexigens	1	1	1
Halioglobus pacificus	1	1	1
Halomonas aestuarii	1	1	1
Halomonas anticariensis	1	1	1
Halomonas beimenensis	1	1	1
Halomonas daqiaonensis	1	1	1
Halomonas daqingensis	1	1	1
Halomonas elongata		1	1
Halomonas gudaonensis	1	1	1
Halomonas halodenitrificans	1	1	1
Halomonas ilicicola	1	1	1
Halomonas korlensis	1	1	1
Halomonas lutea			1
Halomonas massiliensis		1	1
Halomonas muralis	1	1	1
Halomonas pantelleriensis	1	1	1
Halomonas saccharevitans	1	1	1
Halomonas salina		1	1
Halomonas shengliensis	1	1	1
Halomonas sp. 1513	1	1	1
Halomonas sp. A11	1	1	1
Halomonas subglaciescola	1	1	1
Halomonas taeanensis	1	1	1
Halomonas urumqiensis		1	1
Halomonas utahensis	1	1	1
Halomonas ventosae	1	1	1
Halomonas xianhensis	1	1	1
Halorhodospira halophila	1	1	1
Halorussus litoreus		1	1
Halotalea alkalilenta	1	1	1
Halothiobacillus sp. LS2	1	1	1
Hamadaea tsunoensis	1	1	1
Harryflintia acetispora	1	1	1
Hartmannibacter diazotrophicus	1	1	1
Helicobacter bizzozeronii		1	1
Helicobacter felis		1	1
Helicobacter rappini		1	1
Helicobacter salomonis		1	1
Helicobacter suis		1	1
Heliobacterium modesticaldum	1	1	1
Hephaestia caeni	1	1	1
Herbaspirillum hiltneri	1	1	1
Herbaspirillum robiniae	1	1	1
Herbaspirillum seropedicae	1	1	1
Herbaspirillum sp. XFZ15	1	1	1
Herbiconiux ginsengi		1	
Herbidospora cretacea	1	1	1
Herbidospora daliensis	1	1	1
Herbidospora mongoliensis	1	1	1
Herbidospora sakaeratensis	1	1	1
Herbidospora yilanensis	1	1	1
Hoeflea marina	1	1	1
Hoeflea olei	1	1	1
Hoeflea sp. 108	1	1	1
Holophaga foetida	1	1	1
Humitalea rosea	1	1	1
Hwanghaeicola aestuarii	1	1	1
Hydrocarboniphaga daqingensis	1	1	1
Hydrogenibacillus schlegelii	1	1	1
Hydrogenophaga crassostreae		1	1
Hydrogenophaga sp. IBVHS1	1	1	1
Hydrogenophaga sp. IBVHS2	1	1	1
Hydrogenophaga sp. PBC	1	1	1
Hydrogenophaga sp. PML113	1	1	1
Hydrogenophaga sp. RAC07	1	1	1
Hydrogenophaga sp. Root209	1	1	1
Hydrogenophilus thermoluteolus		1	1
Hydrotalea sandarakina			1
Hylemonella gracilis	1	1	1
Hymenobacter aerophilus	1	1	1
Hymenobacter nivis	1	1	1
Hymenobacter psychrophilus	1	1	1
Hymenobacter sedentarius	1	1	1
Hymenobacter sp. APR13	1	1	1
Hymenobacter sp. CRA2	1	1	1
Hymenobacter sp. PAMC 26554	1	1	1
Hymenobacter sp. PAMC 26628	1	1	1
Hyphomicrobium denitrificans	1	1	1
Hyphomicrobium nitrativorans	1	1	1
Hyphomicrobium sp. 99	1	1	1
Hyphomicrobium sp. MC1	1	1	1
Hyphomicrobium sulfonivorans	1	1	1
Hyphomicrobium zavarzinii	1	1	1
Immundisolibacter cernigliae	1	1	1
Inquilinus limosus	1	1	1
Insolitispirillum peregrinum	1	1	1
Intrasporangiaceae bacterium URHB0013	1	1	1
Intrasporangium calvum	1	1	1
Isoptericola variabilis	1	1	1
Isosphaera pallida	1	1	1
Janibacter indicus	1	1	1
Janibacter massiliensis	1	1	1
Janibacter melonis		1	1
Janibacter sp. HTCC2649	1	1	1
Jannaschia rubra	1	1	1
Janthinobacterium agaricidamnosum	1	1	1
Janthinobacterium lividum	1	1	1
Janthinobacterium sp. 1_2014MBL_MicDiv	1	1	1
Janthinobacterium sp. CG3	1	1	1
Janthinobacterium sp. TND4EL3			1
Jeongeupia sp. USM3	1	1	1
Jhaorihella thermophila	1	1	1
Jiangella alba	1	1	1
Jiangella alkaliphila	1	1	1
Jiangella gansuensis	1	1	1
Jiangella muralis	1	1	1
Jiangella sp. DSM 45060	1	1	1
Kaistia adipata	1	1	1
Kaistia soli	1	1	1
Kibdelosporangium aridum	1	1	1
Kibdelosporangium phytohabitans	1	1	1
Kibdelosporangium sp. MJ126-NF4	1	1	1
Kineococcus radiotolerans	1	1	1
Kineosporia sp. R_H_3	1	1	1
Kiritimatiella glycovorans	1	1	1
Kitasatospora cheerisanensis	1	1	1
Kitasatospora setae	1	1	1
Kitasatospora sp. CB01950	1	1	1
Kitasatospora sp. MBT63	1	1	1
Kitasatospora sp. MBT66	1	1	1
Kitasatospora sp. MMS16-BH015	1	1	1
Kitasatospora sp. Root107	1	1	1
Kitasatospora sp. SolWspMP-SS2h	1	1	1
Klebsiella aerogenes		1	
Klebsiella michiganensis		1	1
Klebsiella pneumoniae	1	1	1
Kocuria palustris		1	1
Kocuria sp. CNJ-770		1	
Kocuria sp. UCD-OTCP	1	1	1
Kocuria turfanensis		1	1
Krasilnikoviella flava	1	1	1
Kribbella flavida	1	1	1
Ktedonobacter racemifer	1	1	1
Kushneria aurantia	1	1	1
Kutzneria albida	1	1	1
Kutzneria sp. 744	1	1	1
Kytococcus sedentarius		1	1
Kytococcus sp. CUA-901		1	1
Lactobacillus crispatus			1
Lactobacillus iners			1
Lactobacillus manihotivorans		1	1
Lactobacillus parabuchneri		1	1
Lactococcus lactis		1	1
Lacunisphaera limnophila	1	1	1
Lamprocystis purpurea	1	1	1
Laribacter hongkongensis	1	1	1
Lautropia mirabilis		1	1
Lawsonella clevelandensis			1
Lechevalieria fradiae	1	1	1
Lechevalieria xinjiangensis	1	1	1
Legionella pneumophila	1	1	1
Legionella spiritensis	1	1	1
Leifsonia aquatica		1	1
Leifsonia sp. 21MFCrub1.1		1	1
Leifsonia xyli	1	1	1
Lentzea aerocolonigenes	1	1	1
Lentzea albida	1	1	1
Lentzea flaviverrucosa	1	1	1
Lentzea guizhouensis	1	1	1
Lentzea jiangxiensis	1	1	1
Lentzea kentuckyensis	1	1	1
Lentzea violacea	1	1	1
Lentzea waywayandensis	1	1	1
Leptospira interrogans	1	1	1
Leptothrix cholodnii	1	1	1
Leuconostoc gelidum		1	1
Leuconostoc pseudomesenteroides			1
Levilinea saccharolytica	1	1	1
Limimaricola cinnabarinus	1	1	1
Limimaricola hongkongensis	1	1	1
Limimonas halophila	1	1	1
Limnochorda pilosa	1	1	1
Limnohabitans sp. 103DPR2		1	1
Limnohabitans sp. 63ED37-2	1	1	1
Limnohabitans sp. Rim47	1	1	1
Longilinea arvoryzae	1	1	1
Longispora albida	1	1	1
Luteibacter rhizovicinus	1	1	1
Luteibacter sp. 22Crub2.1	1	1	1
Luteibacter sp. 329MFSha	1	1	1
Luteibacter sp. UNC138MFCol5.1	1	1	1
Luteibacter sp. UNCMF331Sha3.1	1	1	1
Luteibacter sp. UNCMF366Tsu5.1	1	1	1
Luteimonas abyssi	1	1	1
Luteimonas mephitis	1	1	1
Luteimonas sp. 100111	1	1	1
Luteimonas sp. J29	1	1	1
Luteimonas sp. JM171	1	1	1
Luteipulveratus mongoliensis	1	1	1
Luteitalea pratensis	1	1	1
Lysinimicrobium rhizosphaerae	1	1	1
Lysobacter antibioticus	1	1	1
Lysobacter capsici	1	1	1
Lysobacter defluvii	1	1	1
Lysobacter enzymogenes	1	1	1
Lysobacter gummosus	1	1	1
Lysobacter maris	1	1	1
Lysobacter sp. cf310	1	1	1
Lysobacter sp. Root604	1	1	1
Lysobacter sp. Root667	1	1	1
Lysobacter sp. Root690	1	1	1
Lysobacter sp. URHA0019	1	1	1
Lysobacter sp. yr284	1	1	1
Macromonas bipunctata		1	1
Magnetospirillum gryphiswaldense	1	1	1
Magnetospirillum magneticum	1	1	1
Magnetospirillum marisnigri	1	1	1
Magnetospirillum sp. ME-1	1	1	1
Magnetospirillum sp. XM-1	1	1	1
Maricaulis maris	1	1	1
Marichromatium purpuratum	1	1	1
Marinactinospora thermotolerans	1	1	1
Marinithermus hydrothermalis	1	1	1
Marinobacter hydrocarbonoclasticus	1	1	1
Marinobacter pelagius	1	1	1
Marinobacter persicus		1	1
Marinobacterium aestuarii	1	1	1
Marinobacterium rhizophilum	1	1	1
Marinovum algicola	1	1	1
Marmoricola ginsengisoli	1	1	1
Marmoricola scoriae	1	1	1
Marmoricola solisilvae	1	1	1
Marmoricola sp. Leaf446	1	1	1
Marmoricola sp. URHB0036	1	1	1
Martelella mediterranea	1	1	1
Massilia alkalitolerans	1	1	1
Massilia armeniaca	1	1	1
Massilia aurea	1	1	1
Massilia namucuonensis	1	1	1
Massilia niastensis	1	1	1
Massilia oculi	1	1	1
Massilia putida	1	1	1
Massilia sp. BSC265	1	1	1
Massilia sp. CF038	1	1	1
Massilia sp. KIM	1	1	1
Massilia sp. NR 4-1	1	1	1
Massilia sp. PDC64	1	1	1
Massilia sp. Root335	1	1	1
Massilia sp. Root351	1	1	1
Massilia sp. Root418	1	1	1
Massilia sp. WG5	1	1	1
Massilia sp. YMA4	1	1	1
Massilia timonae	1	1	1
Massilia violaceinigra	1	1	1
Massilia yuzhufengensis	1	1	1
Meiothermus ruber	1	1	1
Meiothermus silvanus	1	1	1
Meiothermus taiwanensis	1	1	1
Melaminivora alkalimesophila	1	1	1
Melaminivora sp. SC2-9	1	1	1
Melittangium boletus	1	1	1
Mesorhizobium amorphae	1	1	1
Mesorhizobium australicum	1	1	1
Mesorhizobium ciceri	1	1	1
Mesorhizobium erdmanii	1	1	
Mesorhizobium japonicum	1	1	1
Mesorhizobium loti	1	1	1
Mesorhizobium muleiense	1	1	1
Mesorhizobium oceanicum	1	1	1
Mesorhizobium opportunistum	1	1	1
Mesorhizobium plurifarium	1	1	1
Mesorhizobium prunaredense	1	1	1
Mesorhizobium qingshengii	1	1	1
Mesorhizobium sp. 1M-11	1	1	1
Mesorhizobium sp. ORS 3324	1	1	
Mesorhizobium sp. ORS 3359	1	1	1
Mesorhizobium sp. Root157	1	1	1
Mesorhizobium sp. Root172	1	1	1
Mesorhizobium sp. Root552	1	1	1
Mesorhizobium sp. SOD10	1	1	1
Mesorhizobium sp. URHA0056	1	1	1
Mesorhizobium sp. URHC0008	1	1	1
Mesorhizobium sp. WSM2561	1	1	1
Mesorhizobium sp. WSM3224	1	1	1
Mesorhizobium sp. WSM3626	1	1	1
Metallibacterium scheffleri	1	1	1
Methanosaeta harundinacea	1	1	1
Methanosarcina mazei		1	1
Methylibium petroleiphilum	1	1	1
Methylibium sp. CF059	1	1	1
Methylibium sp. CF468	1	1	1
Methylibium sp. YR605	1	1	1
Methylobacter luteus	1	1	1
Methylobacter tundripaludum	1	1	1
Methylobacterium aquaticum	1	1	1
Methylobacterium brachiatum	1	1	1
Methylobacterium currus	1	1	1
Methylobacterium gossipiicola	1	1	1
Methylobacterium nodulans	1	1	1
Methylobacterium phyllostachyos	1	1	1
Methylobacterium platani	1	1	1
Methylobacterium pseudosasicola	1	1	1
Methylobacterium radiotolerans	1	1	1
Methylobacterium sp. 174MFSha1.1	1	1	1
Methylobacterium sp. 4-46	1	1	1
Methylobacterium sp. 77	1	1	1
Methylobacterium sp. ap11	1	1	1
Methylobacterium sp. B4	1	1	1
Methylobacterium sp. DM1	1	1	1
Methylobacterium sp. Leaf117	1	1	1
Methylobacterium sp. Leaf123		1	1
Methylobacterium sp. Leaf125	1	1	1
Methylobacterium sp. Leaf399	1	1	1
Methylobacterium sp. Leaf86	1	1	1
Methylobacterium sp. Leaf90		1	1
Methylobacterium sp. Leaf93		1	1
Methylobacterium sp. Leaf99	1	1	1
Methylobacterium sp. MB200		1	1
Methylobacterium sp. WSM2598	1	1	1
Methylocaldum marinum	1	1	1
Methylocaldum szegediense	1	1	1
Methylocapsa acidiphila	1	1	1
Methylocapsa aurea	1	1	1
Methyloceanibacter caenitepidi	1	1	1
Methylocella silvestris	1	1	1
Methylococcus capsulatus	1	1	1
Methylocystis bryophila	1	1	1
Methylocystis sp. ATCC 49242	1	1	1
Methylocystis sp. SC2	1	1	1
Methylomicrobium album	1	1	1
Methylomonas sp. LWB	1	1	1
Methylophaga nitratireducenticrescens	1	1	1
Methylophilales bacterium LSUCC0135	1	1	1
Methylophilus methylotrophus		1	
Methylophilus sp. Leaf459		1	1
Methylorubrum extorquens	1	1	1
Methylorubrum populi	1	1	1
Methylosarcina fibrata	1	1	1
Methylosinus sp. LW3	1	1	1
Methylosinus sp. LW4	1	1	1
Methylosinus trichosporium	1	1	1
Methylotenera mobilis	1	1	1
Methylotenera versatilis	1	1	1
Methyloversatilis discipulorum	1	1	1
Methyloversatilis sp. RAC08	1	1	1
Methyloversatilis thermotolerans	1	1	1
Methyloversatilis universalis	1	1	1
Methylovirgula ligni	1	1	1
Methylovulum miyakonense	1	1	1
Microbacterium aurum		1	1
Microbacterium chocolatum		1	
Microbacterium enclense		1	
Microbacterium foliorum		1	1
Microbacterium hominis		1	1
Microbacterium sediminis			1
Microbacterium sp. AISO3		1	1
Microbacterium sp. cf046		1	1
Microbacterium sp. CH1		1	
Microbacterium sp. H6		1	1
Microbacterium sp. Leaf351		1	1
Microbacterium sp. No. 7	1	1	1
Microbacterium sp. oral taxon 186	1	1	1
Microbacterium sp. URHA0036		1	1
Microbacterium testaceum		1	1
Microbispora rosea	1	1	1
Microbispora sp. ATCC PTA-5024	1	1	1
Microbispora sp. GMKU363	1	1	1
Microbulbifer donghaiensis	1	1	1
Microbulbifer marinus	1	1	1
Microbulbifer thermotolerans	1	1	1
Microbulbifer yueqingensis	1	1	1
Micrococcus luteus	1	1	1
Microcystis aeruginosa	1	1	1
Microlunatus phosphovorus	1	1	1
Microlunatus soli	1	1	1
Micromonospora auratinigra	1	1	1
Micromonospora carbonacea	1	1	1
Micromonospora chaiyaphumensis	1	1	1
Micromonospora coriariae	1	1	1
Micromonospora coxensis	1	1	1
Micromonospora echinaurantiaca	1	1	1
Micromonospora echinofusca	1	1	1
Micromonospora echinospora	1	1	1
Micromonospora endolithica	1	1	1
Micromonospora haikouensis	1	1	1
Micromonospora halophytica	1	1	1
Micromonospora humi	1	1	1
Micromonospora inositola	1	1	1
Micromonospora krabiensis	1	1	1
Micromonospora matsumotoense	1	1	1
Micromonospora narathiwatensis	1	1	1
Micromonospora purpureochromogenes	1	1	1
Micromonospora siamensis	1	1	1
Micromonospora sp. ATCC 39149	1	1	1
Micromonospora sp. CB01531	1	1	1
Micromonospora sp. HK10	1	1	1
Micromonospora sp. WMMA2032	1	1	1
Micromonospora tulbaghiae	1	1	1
Micromonospora viridifaciens	1	1	1
Micromonospora zamorensis			1
Micropruina glycogenica	1	1	1
Microterricola viridarii	1	1	1
Microtetraspora fusca	1	1	1
Microtetraspora glauca	1	1	1
Microtetraspora malaysiensis	1	1	1
Microtetraspora niveoalba	1	1	1
Microvirga flocculans	1	1	1
Microvirga guangxiensis	1	1	1
Microvirga lotononidis	1	1	1
Microvirga massiliensis	1	1	1
Microvirga ossetica	1	1	1
Microvirga sp. 17 mud 1-3	1	1	1
Microvirga sp. KLBC 81	1	1	1
Microvirga subterranea	1	1	1
Microvirga vignae	1	1	1
Mitsuaria sp. 7	1	1	1
Mitsuokella multacida	1	1	1
Mizugakiibacter sediminis	1	1	1
Mobilicoccus massiliensis	1	1	1
Modestobacter caceresii	1	1	1
Modestobacter marinus	1	1	1
Modestobacter sp. DSM 44400	1	1	1
Moorella thermoacetica	1	1	1
Moraxella osloensis	1	1	1
Morococcus cerebrosus		1	1
Motilibacter peucedani	1	1	1
Murimonas intestini			1
Murinocardiopsis flavida	1	1	1
Mycobacterium avium	1	1	1
Mycobacterium bohemicum	1	1	1
Mycobacterium chimaera			1
Mycobacterium colombiense	1	1	1
Mycobacterium dioxanotrophicus	1	1	1
Mycobacterium gordonae		1	1
Mycobacterium haemophilum	1	1	1
Mycobacterium kansasii	1	1	1
Mycobacterium leprae	1	1	1
Mycobacterium marinum		1	1
Mycobacterium montefiorense			1
Mycobacterium paragordonae		1	1
Mycobacterium parascrofulaceum			1
Mycobacterium shigaense		1	1
Mycobacterium sp. 360MFTsu5.1		1	
Mycobacterium sp. 4858	1	1	1
Mycobacterium sp. djl-10	1	1	1
Mycobacterium sp. JS623	1	1	1
Mycobacterium sp. M26		1	1
Mycobacterium sp. QGD 101	1	1	1
Mycobacterium sp. Root265		1	1
Mycobacterium sp. Soil538	1	1	1
Mycobacterium sp. UM_NYF	1	1	1
Mycobacterium sp. UM_WWY		1	
Mycobacterium sp. UNC267MFSha1.1M11		1	
Mycobacterium sp. UNC280MFTsu5.1		1	1
Mycobacterium sp. URHB0044	1	1	1
Mycobacterium sp. URHD0025		1	
Mycobacterium triplex			1
Mycobacterium tuberculosis	1	1	1
Mycolicibacter icosiumassiliensis		1	1
Mycolicibacter sinensis	1		
Mycolicibacterium chubuense	1	1	1
Mycolicibacterium gilvum	1	1	1
Mycolicibacterium goodii	1	1	1
Mycolicibacterium hassiacum	1	1	1
Mycolicibacterium houstonense		1	
Mycolicibacterium litorale		1	
Mycolicibacterium phlei	1	1	1
Mycolicibacterium rhodesiae	1	1	1
Mycolicibacterium rutilum	1	1	1
Mycolicibacterium septicum	1	1	
Mycolicibacterium smegmatis	1	1	1
Mycolicibacterium thermoresistibile	1	1	1
Mycolicibacterium tusciae	1	1	1
Mycolicibacterium vaccae	1	1	1
Mycoplana dimorpha	1	1	1
Myxococcus fulvus	1	1	1
Myxococcus hansupus	1	1	1
Myxococcus stipitatus	1	1	1
Myxococcus virescens	1	1	1
Myxococcus xanthus	1	1	1
Nakamurella lactea	1	1	1
Nakamurella multipartita	1	1	1
Nakamurella panacisegetis	1	1	1
Nannocystis exedens	1	1	1
Neisseria meningitidis		1	1
Neisseria sp. HMSC068C04			1
Neorhizobium galegae	1	1	1
Nesterenkonia massiliensis		1	
Nesterenkonia sandarakina		1	
Nevskia soli	1	1	1
Niabella aurantiaca	1	1	1
Niabella drilacis	1	1	1
Niabella ginsenosidivorans	1	1	1
Niabella soli	1	1	1
Niabella yanshanensis	1	1	1
Niastella koreensis	1	1	1
Niastella yeongjuensis	1	1	1
Nisaea denitrificans	1	1	1
Nitratireductor sp. OM-1	1	1	1
Nitriliruptor alkaliphilus	1	1	1
Nitrobacter hamburgensis	1	1	1
Nitrobacter sp. Nb-311A	1	1	1
Nitrobacter vulgaris	1	1	1
Nitrobacter winogradskyi	1	1	1
Nitrococcus mobilis	1	1	1
Nitrosococcus halophilus	1	1	1
Nitrosococcus oceani	1	1	1
Nitrosococcus watsonii		1	1
Nitrosomonas sp. AL212	1	1	1
Nitrosomonas sp. Is79A3	1	1	1
Nitrosomonas ureae	1	1	1
Nitrosopumilus adriaticus	1	1	1
Nitrososphaera viennensis	1	1	1
Nitrosospira briensis	1	1	1
Nitrosospira multiformis	1	1	1
Nitrosospira sp. Nsp13	1	1	1
Nitrosospira sp. Nsp14	1	1	1
Nitrosospira sp. Nsp2	1	1	1
Nitrosovibrio sp. Nv17	1	1	1
Nitrospina gracilis	1	1	1
Nitrospira cf. moscoviensis SBR1015	1	1	1
Nitrospira defluvii	1	1	1
Nitrospira japonica	1	1	1
Nitrospira moscoviensis	1	1	1
Nitrospirillum amazonense	1	1	1
Niveispirillum cyanobacteriorum	1	1	1
Niveispirillum irakense	1	1	1
Nocardia amikacinitolerans	1	1	1
Nocardia brasiliensis	1	1	1
Nocardia cyriacigeorgica	1	1	1
Nocardia farcinica	1	1	1
Nocardia mexicana	1	1	1
Nocardia neocaledoniensis	1	1	1
Nocardia pseudobrasiliensis	1	1	1
Nocardia puris	1	1	1
Nocardia seriolae	1	1	1
Nocardia sp. BMG111209	1	1	1
Nocardia suismassiliense	1	1	1
Nocardia tenerifensis	1	1	1
Nocardia terpenica	1	1	1
Nocardioides alkalitolerans	1	1	1
Nocardioides alpinus	1	1	1
Nocardioides dokdonensis	1	1	1
Nocardioides halotolerans	1	1	1
Nocardioides insulae	1	1	1
Nocardioides lianchengensis	1	1	1
Nocardioides psychrotolerans	1	1	1
Nocardioides sp. CF8	1	1	1
Nocardioides sp. Iso805N	1	1	1
Nocardioides sp. J54	1	1	1
Nocardioides sp. Leaf307	1	1	1
Nocardioides sp. Root122	1	1	1
Nocardioides sp. Root190	1	1	1
Nocardioides sp. Root224	1	1	1
Nocardioides sp. Soil777	1	1	1
Nocardioides sp. Soil805	1	1	1
Nocardioides sp. URHA0020	1	1	1
Nocardioides sp. URHA0032	1	1	1
Nocardioides szechwanensis	1	1	1
Nocardioides terrae	1	1	1
Nocardiopsis alba	1	1	1
Nocardiopsis flavescens	1	1	1
Nocardiopsis gilva	1	1	1
Nocardiopsis sinuspersici	1	1	1
Nocardiopsis sp. CNR-923	1	1	1
Nocardiopsis sp. CNT312	1	1	1
Nocardiopsis sp. L17-MgMaSL7	1	1	1
