Species
Filimonas lacunae
Fimbriimonas ginsengisoli
Firmicutes bacterium
Fischerella muscicola
Flavisolibacter ginsengisoli
Flavisolibacter tropicus
Fontimonas thermophila
Frankia coriariae
Frankia discariae
Frankia elaeagni
Frankia inefficax
Frankia saprophytica
Frankia sp. DC12
Frankia sp. EAN1pec
Frankia sp. QA3
Frankiales bacterium
Frankineae bacterium MT45
Frateuria aurantia
Frateuria sp. Soil773
Frateuria terrea
Friedmanniella flava
Friedmanniella luteola
Friedmanniella sagamiharensis
Fuerstia marisgermanicae
Fulvimonas soli
gamma proteobacterium HTCC5015
Gammaproteobacteria bacterium 2W06
Geminicoccus roseus
Gemmata obscuriglobus
Gemmata sp. SH-PL17
Gemmatimonas aurantiaca
Gemmatimonas phototrophica
Gemmatirosa kalamazoonesis
Geoalkalibacter ferrihydriticus
Geoalkalibacter subterraneus
Geobacter bemidjiensis
Geobacter bremensis
Geobacter metallireducens
Geobacter pelophilus
Geobacter pickeringii
Geobacter sp. DSM 9736
Geobacter sp. M18
Geobacter sp. M21
Geobacter sulfurreducens
Geobacter uraniireducens
Geodermatophilaceae bacterium URHA0031
Geodermatophilaceae bacterium URHB0062
Geodermatophilus africanus
Geodermatophilus amargosae
Geodermatophilus nigrescens
Geodermatophilus obscurus
Geodermatophilus ruber
Geodermatophilus sabuli
Geodermatophilus saharensis
Geodermatophilus siccatus
Geodermatophilus sp. DSM 44511
Geodermatophilus telluris
Geodermatophilus tzadiensis
Georgenia satyanarayanai
Geothermobacter sp. HR-1
Geothrix fermentans
Gloeobacter kilaueensis
Gloeobacter violaceus
Gluconacetobacter diazotrophicus
Glycomyces arizonensis
Glycomyces artemisiae
Glycomyces harbinensis
Glycomyces sambucus
Glycomyces tenuis
Gordonia iterans
Gordonia polyisoprenivorans
Granulibacter bethesdensis
Granulicella mallensis
Granulicella tundricola
Hahella chejuensis
Halegenticoccus soli
Haliangium ochraceum
Haliea salexigens
Halioglobus pacificus
Halomonas aestuarii
Halomonas anticariensis
Halomonas beimenensis
Halomonas daqiaonensis
Halomonas daqingensis
Halomonas gudaonensis
Halomonas halodenitrificans
Halomonas ilicicola
Halomonas korlensis
Halomonas muralis
Halomonas pantelleriensis
Halomonas saccharevitans
Halomonas shengliensis
Halomonas sp. 1513
Halomonas sp. A11
Halomonas subglaciescola
Halomonas taeanensis
Halomonas utahensis
Halomonas ventosae
Halomonas xianhensis
Halorhodospira halophila
Halotalea alkalilenta
Halothiobacillus sp. LS2
Hamadaea tsunoensis
Harryflintia acetispora
Hartmannibacter diazotrophicus
Heliobacterium modesticaldum
Hephaestia caeni
Herbaspirillum hiltneri
Herbaspirillum robiniae
Herbaspirillum seropedicae
Herbaspirillum sp. XFZ15
Herbidospora cretacea
Herbidospora daliensis
Herbidospora mongoliensis
Herbidospora sakaeratensis
Herbidospora yilanensis
Hoeflea marina
Hoeflea olei
Hoeflea sp. 108
Holophaga foetida
Humitalea rosea
Hwanghaeicola aestuarii
Hydrocarboniphaga daqingensis
Hydrogenibacillus schlegelii
Hydrogenophaga sp. IBVHS1
Hydrogenophaga sp. IBVHS2
Hydrogenophaga sp. PBC
Hydrogenophaga sp. PML113
Hydrogenophaga sp. RAC07
Hydrogenophaga sp. Root209
Hylemonella gracilis
Hymenobacter aerophilus
Hymenobacter nivis
Hymenobacter psychrophilus
Hymenobacter sedentarius
Hymenobacter sp. APR13
Hymenobacter sp. CRA2
Hymenobacter sp. PAMC 26554
Hymenobacter sp. PAMC 26628
Hyphomicrobium denitrificans
Hyphomicrobium nitrativorans
Hyphomicrobium sp. 99
Hyphomicrobium sp. MC1
Hyphomicrobium sulfonivorans
Hyphomicrobium zavarzinii
