Library_ID	CLR	Counts	log_counts
ERR5729646	-6.43695466964487	1	0
ERR5729647	-0.481989635441569	1164	3.06595298031387
ERR5729648	4.14634936913185	112288	5.05033334653531
ERR5729649	-7.37688227312968	1	0
ERR5729650	2.91514810113391	30223	4.48033757114728
ERR5729651	1.74029356157607	4347	3.63818964019084
ERR5729652	-6.47018213264841	1	0
ERR5729653	2.20917636942163	7688	3.88581337466049
ERR5729654	-6.20177526930151	1	0
ERR5729655	1.20604454121275	2564	3.40891802084678
ERR5729656	-6.30815782739092	1	0
ERR5729657	5.52407113090651	327488	5.51519539095601
ESA003.A0101	3.86337650278633	63222	4.80086823043467
ESA004.A0101	5.35330375718787	161089	5.20706588553154
ESA006.A0101	3.79919413178695	30269	4.48099807336306
ESA007.A0101	0.543773448688116	1418	3.15167623084705
ESA008.A0101	2.17038189623697	8856	3.94723760787067
FUM001.A0101	-6.27007585996231	1	0
FUM002.A0101	-6.29145986876695	1	0
FUT021.B0101	-5.88164647001978	1	0
FUT024.B0101	0.536012973043629	619	2.79169064902012
GDN001.A0101	-6.02220057883594	1	0
GDN001.B0101	-6.33874176435725	1	0
HCLVMBCX2-3505-01-00-01_S1	1.8005739375794	2353	3.37162192717602
HCLVMBCX2-3505-02-00-01_S2	0.972169216727122	853	2.93094903116752
HCLVMBCX2-3505-03-00-01_S3	-0.333736196135909	239	2.37839790094814
HCLVMBCX2-3505-05-00-01_S5	5.29184048420089	77632	4.89004077485046
HCLVMBCX2-3505-06-00-01_S6	-6.12401137325577	1	0
HCLVMBCX2-3505-07-00-01_S7	4.82074589888099	52205	4.7177121000984
HCLVMBCX2-3505-08-00-01_S8	1.52522340480002	1413	3.15014216184856
HCLVMBCX2-3505-09-00-01_S9	-6.31948070452722	1	0
HCLVMBCX2-3505-10-00-01_S10	-0.115202191807661	331	2.51982799377572
HCLVMBCX2-3505-11-00-01_S11	6.04531027724393	230985	5.36358377803611
HCLVMBCX2-3505-12-00-01_S12	2.67612015936498	7779	3.89092377148901
HCLVMBCX2-3505-14-00-01_S14	7.24036419046496	1036677	6.01564346326597
HCLVMBCX2-3505-15-00-01_S15	5.70068142872474	164280	5.21558469418162
