Library_ID	Mapped	Non_mapped	Assigned	Non_Assigned
CMB001.A0101	2905243	3710948	2901819	3424
CMB002.A0101	3620201	4357733	3618308	1893
CMB003.A0101	3606176	4556306	3604217	1959
CMB004.A0101	2655829	4582180	2654309	1520
CMB005.A0101	4062001	3503069	4060147	1854
CMB006.A0101	4074049	4054376	4072598	1451
CMB007.A0101	2739657	4120548	2737648	2009
CMB008.A0101	2876337	4921393	2873666	2671
MID022.A0101	5278582	5682515	5275886	2696
MID023.A0101	5592288	2533735	5590846	1442
MID024.A0101	3530229	6182433	3528447	1782
MID025.A0101	3467623	5964523	3465963	1660
MID026.A0101	4542483	2834848	4540745	1738
MID027.A0101	4552902	2155094	4552058	844
MID028.A0101	3272052	2968827	3270679	1373
MID029.A0101	4271730	3198040	4270658	1072
MID030.A0101	3443994	6648915	3438321	5673
MID031.A0101	2267186	3880627	2265903	1283
MID032.A0101	4440614	6123099	4433179	7435
MID033.A0101	2886220	4513857	2884995	1225
MID034.A0101	4621369	6069923	4619800	1569
MID035.A0101	3421701	3480236	3420498	1203
MID036.A0101	5835322	3181456	5833830	1492
MID037.A0101	5946914	4766161	5943504	3410
MID038.A0101	4419990	3110039	4418713	1277
MID039.A0101	3926566	2999187	3925586	980
MID040.A0101	4029687	5020244	4028074	1613
MID041.A0101	4466826	4804274	4465488	1338
MID042.A0101	5486910	2564749	5485388	1522
MID043.A0101	4793023	2771848	4791873	1150
MID044.A0101	4623283	3878359	4621787	1496
MID045.A0101	5412162	4675960	5409766	2396
MID046.A0101	3295226	4251456	3292848	2378
MID047.A0101	3637274	3339165	3634899	2375
MID048.A0101	4746993	3230189	4745509	1484
MID049.A0101	5561923	4556496	5560322	1601
MID050.A0101	5782352	6829431	5776743	5609
MID051.A0101	4100293	4407705	4098188	2105
MID052.A0101	4306978	5529813	4305190	1788
MID053.A0101	4845294	5828453	4843184	2110
MID054.A0101	4130927	9012512	4128056	2871
MID055.A0101	5865885	5833469	5863332	2553
MID056.A0101	5689642	5679462	5682855	6787
MID057.A0101	6395136	6860257	6390714	4422
MID058.A0101	4096723	5224589	4093841	2882
MID059.A0101	5695703	7220395	5693440	2263
MID060.A0101	4041061	4130266	4039210	1851
MID061.A0101	8826364	2184767	8824611	1753
MID062.A0101	3856293	4063752	3854058	2235
MID063.A0101	3249815	6305703	3247793	2022
MID064.A0101	4860453	4979138	4858212	2241
