Master ID	Country	shotgun_pct_endo
I2658	United Kingdom	0.0089
I26828	Netherlands	0.4962841
I26829	Netherlands	0.447180634
I26830	Netherlands	0.412944722
I26831	Netherlands	0.006844981
I26832	Netherlands	0.53378612
I2692	United Kingdom	0.0786
I2693	United Kingdom	0.0741
I2694	United Kingdom	0.3101
I2695	United Kingdom	0.0223
I2696	United Kingdom	0.0265
I2699	United Kingdom	0.0076
I2699	United Kingdom	0.0126
I2699	United Kingdom	0.0159
I27379	United Kingdom	0.051974192
I27380	United Kingdom	0.537603511
I27381	United Kingdom	0.267716213
I27382	United Kingdom	0.389782946
I27383	United Kingdom	0.370537115
I27384	United Kingdom	0.030817612
I27385	United Kingdom	0.08731249
I2796	United Kingdom	0.0025
I2796	United Kingdom	0.0023
I2799	United Kingdom	0.0165
I2824	United Kingdom	0.004
I2824	United Kingdom	0.0104
I2824	United Kingdom	0.0091
I2982	United Kingdom	0.7423
I2983	United Kingdom	0.4583
I3014	United Kingdom	0.7788
I3019	United Kingdom	0.0107
I3035	United Kingdom	0.4262
I3083	United Kingdom	0.1598
I3137	United Kingdom	0.0214
I3137	United Kingdom	0.0194
I3139	United Kingdom	0.3759
I3566	United Kingdom	0.7699
I3567	United Kingdom	0.8268
I3568	United Kingdom	0.7662
I4067	Netherlands	0.0072
I4067	Netherlands	0.0068
I4067	Netherlands	0.0079
I4949	United Kingdom	n/a (shotgun data not generated)
I5365	United Kingdom	0.111
I5440	United Kingdom	0.1438
I5471	United Kingdom	0.0109
I5474	United Kingdom	0.008
I5474	United Kingdom	0.0129
I5474	United Kingdom	0.012
I5474	United Kingdom	0.01
I5474	United Kingdom	0.0078
I5474	United Kingdom	0.0077
I5474	United Kingdom	0.0079
I5474	United Kingdom	0.0083
I5474	United Kingdom	0.0081
I5502	United Kingdom	0.1618
I5503	United Kingdom	0.1863
I5504	United Kingdom	0.0025
I5504	United Kingdom	0.0074
I5504	United Kingdom	0.0081
I5504	United Kingdom	0.0064
I5504	United Kingdom	n/a (shotgun data not generated)
I5504	United Kingdom	n/a (shotgun data not generated)
I5504	United Kingdom	n/a (shotgun data not generated)
I5504	United Kingdom	n/a (shotgun data not generated)
I5505	United Kingdom	0.057651724
I5505	United Kingdom	0.1298
I5506	United Kingdom	0.3121
I5507	United Kingdom	0.1652
I5508	United Kingdom	0.2095
I5509	United Kingdom	0.019
I5510	United Kingdom	0.0149
I5511	United Kingdom	0.2909
I6748	United Kingdom	0.0307
I6769	United Kingdom	0.627
I6771	United Kingdom	0.0761
I6776	United Kingdom	0.0448
I7629	United Kingdom	0.0097
I7629	United Kingdom	0.00630563
I7629	United Kingdom	0.005465784
I7629	United Kingdom	0.004962136
I7629	United Kingdom	0.005647739
I7632	United Kingdom	0.1843
